0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	
170	0	65	18	0	47	18	44	68	6	52	12	0	34	35	0	0	0	1	16	0	0	24	0	4	5	90	152	0	55	44	95	
0	172	16	0	23	85	50	84	145	0	0	14	0	35	43	0	59	7	25	53	0	60	0	25	74	57	0	5	78	0	0	0	
28	151	0	0	54	0	31	14	44	77	88	22	0	70	125	58	0	0	0	52	0	45	0	0	55	33	56	103	78	7	112	17	

210	0	0	73	0	0	5	0	8	13	13	0	0	15	0	0	0	94	0	0	0	0	99	57	6	20	35	0	2	0	0	34	
71	0	51	0	9	63	41	0	57	0	0	0	0	0	0	0	0	0	28	3	0	18	0	0	0	0	35	91	0	13	63	28	
0	0	0	31	114	0	0	0	3	0	26	0	0	0	0	72	60	0	0	0	0	0	0	38	46	55	0	0	0	7	89	0	

0	0	0	0	0	54	48	0	0	0	0	0	0	21	0	0	69	116	0	0	0	0	24	0	8	20	13	0	0	0	0	43	
122	0	0	81	26	0	0	0	0	0	56	0	0	2	0	5	0	0	0	0	0	0	0	10	0	0	19	0	0	28	24	0	
0	0	0	0	51	3	0	0	29	0	0	0	0	0	0	0	70	0	0	0	0	43	0	0	77	32	0	6	0	0	0	0	

0	0	0	0	0	105	0	0	8	0	58	0	0	0	9	0	0	0	0	49	0	0	0	8	0	0	0	0	0	0	12	0	
0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	17	0	0	0	30	12	0	0	63	0	0	0	0	0	56	0	0	
0	21	0	0	0	32	0	0	0	75	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	32	0	0	0	33	0	

